ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;resource_facet_manipulated;pred;axb;response_variable;r;N
E.S. 11;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head width (mm) of successful males;0.006;70
E.S. 12;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;a;mean head width (mm) of successful males;0.002;72
E.S. 13;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean femur lenght (mm) of successful males;-0.004;99
E.S. 14;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean femur lenght (mm) of successful males;0.015;85
E.S. 15;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean femur lenght (mm) of successful males;0.002;70
E.S. 16;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean femur lenght (mm) of successful males;0.01;72
E.S. 17;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean tibia lenght (mm) of successful males;-0.011;99
E.S. 18;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean tibia lenght (mm) of successful males;0.015;85
E.S. 19;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean tibia lenght (mm) of successful males;0.009;70
E.S. 20;22;Kelly 2008;2008;Hemideina crassidens;Hemideina_crassidens;Insecta;Orthoptera;1_artro;polygamy;maternal;tree hollows or artificial galleries;exp_field;qualit;mean male size;b;mean tibia lenght (mm) of successful males;0.02;72
E.S. 21;46;Werneck and Machado unpublished;unp;Magnispina neptunus;Magnispina_neptunus;Arachnida;Opiliones;1_artro;polygamy;paternal;natural cavities in roadside banks ;exp_lab;quant;mean male size;b;mean body size of nest holding males (mm);0.082;83
E.S. 22;2;Bessert et al 2007;2007;Pimephales promelas;Pimephales_promelas;Actinopterygii;Cypriniformes;2_pisc;polygamy;paternal;variation in avaiability of nest substrate;obs;quant;mean male size;b;guardian male lenght (mm);0.364;42
E.S. 23;2;Bessert et al 2007;2007;Pimephales promelas;Pimephales_promelas;Actinopterygii;Cypriniformes;2_pisc;polygamy;paternal;variation in avaiability of nest substrate;obs;quant;mean male size;b;guardian male dry somatic mass ;0.581;42
E.S. 24;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;excaveted areas under rocks;obs;quant;selection gradient;b;selection gradient based on paternity data (?'pat);0.389;374
E.S. 25;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;excaveted areas under rocks;obs;quant;selection gradient;b;selection gradient based in mating success data (?'eggs);0.316;172
E.S. 26;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;excaveted areas under rocks;obs;quant;mean male size;b;guardian male standart length (cm transformed in mm);0.439;96
E.S. 27;10;Cogliati et al 2014;2014;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;excaveted areas under rocks;obs;quant;mean male size;b;sneaker male standart length (cm transformed in mm);0.505;96
E.S. 28;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;obs;quant;mean male size;b;male body lenght (mm);0.109;72
E.S. 29;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;obs;quant;mean male size;b;male body weight (g);0.124;72
